Apache License 2.0 (Apache-2.0)
Mozilla Public License 2.0 (MPL-2.0)
GNU Lesser General Public License v2.1 (LGPL-2.1)
BSD 2-Clause License (FreeBSD/Simplified)
BSD 3-Clause License (Revised)
Zlib-Libpng License (Zlib)
