Video	Videos (.mp4, .mov, .webm, .ogm, .ogv, up to 100 MB, 2 maximum, <60 seconds)
Image	Images (.jpg, .gif, .png, up to 10 MB, no more than 4000px in any dimension)
Document	Document (.pdf, up to 10 MB)
Audio	Audio (.mp3, .wav, up to 10 MB, 20 maximum)
