MIT License
Apache License 2.0
GNU General Public License v3.0
AGPL-3.0 license
Creative Commons Zero v1.0 Universal
AGPL-3.0 license
Creative Commons Zero v1.0 Universal
BSD 3-Clause 'New' or 'Revised' License
